unit_id,unit_title,lesson_id,lesson_title,lesson_activity,lesson_activity_name,lesson_notes,lesson_video_id,lesson_objectives
1,Course Introduction,1,Course in One Page,,,assets/slides/Lecture_1.pdf,hCJotp2POXM,"<p>Geoffrey gives a short introduction to the course covering it's content and structure. He presents the X-Informatics fields (defined values of X) and the Rallying cry of course: Use Clouds running Data Analytics Collaboratively processing Big Data to solve problems in X-Informatics ( or e-X). The courses is set up as a MOOC divided into units that vary in length but are typically around an hour and those are further subdivided into 5-15 minute lessons. Geoffrey follows discussion of mechanics of course with a list of all the units offered</p>"
1,Course Introduction,2,Overall Introduction,,,assets/slides/Lecture_1.pdf,Oippp8tRbss,"<p>This course gives an overview of big data from a use case (application) point of view noting that big data in field X drives the concept of X-Informatics. It covers applications, algorithms and infrastructure/technology (cloud computing). There are 3 versions of Spring 2014 course: I400 Informatics at IU for Undergraduates, I590 Informatics at IU for Graduate students, I590 component of non residential data science certificate. They differ in homework and recommended/required lectures. A single web resource handles lectures for all 3 classes</p>"
1,Course Introduction,3,Course Topics I,,,assets/slides/Lecture_1.pdf,kIdF8pF7tP8,"<p>Geoffrey discusses some of the available units:<br />Motivation: Big Data and the Cloud; Centerpieces of the Future Economy<br />Introduction: What is Big Data, Data Analytics and X-Informatics<br />Python for Big Data Applications and Analytics: NumPy, SciPy, MatPlotlib<br />Using FutureGrid for Big Data Applications and Analytics Course<br />X-Informatics Physics Use Case, Discovery of Higgs Particle; Counting Events and Basic Statistics Parts I-IV</p>"
1,Course Introduction,4,Course Topics II,,,assets/slides/Lecture_1.pdf,yCgSXOcrBTk,"<p>Geoffrey discusses some more of the available units:X-Informatics Use Cases: Big Data Use Cases Survey<br />Using Plotviz Software for Displaying Point Distributions in 3D<br />X-Informatics Use Case: e-Commerce and Lifestyle with recommender systems<br />Technology Recommender Systems - K-Nearest Neighbors, Clustering and heuristic methods<br />Parallel Computing Overview and familiar examples<br />Cloud Technology  for Big Data Applications & Analytics</p>"
1,Course Introduction,5,Course Topics III,,,assets/slides/Lecture_1.pdf,VO0AP1hGXjQ,"<p>Geoffrey discusses the remainder of the available units:X-Informatics Use Case: Web Search and Text Mining and their technologies<br />Technology for X-Informatics: PageRank<br />Technology for X-Informatics: Kmeans<br />Technology for X-Informatics: MapReduce<br />Technology for X-Informatics: Kmeans and MapReduce Parallelism<br />X-Informatics Use Case: Health<br />X-Informatics Use Case: Sensors<br />X-Informatics Use Case: Radar for Remote Sensing.</p>"
2,Course Motivation: Big Data and Clouds,1,Introduction,,,assets/slides/Lecture_2.pptx,MNZLdidoIiM,"<p>This presents the overview of talk, some trends in computing and data and jobs. Gartner's emerging technology hype cycle shows many areas of Clouds and Big Data. Geoffrey highlights 6 issues of importance: economic imperative, computing model, research model, Opportunities in advancing computing, Opportunities in X-Informatics, Data Science Education</p>"
2,Course Motivation: Big Data and Clouds,2,Data Deluge,,,assets/slides/Lecture_2.pptx,y8NZdvaH-IU,"<p>Geoffrey gives some amazing statistics for total storage; uploaded video and uploaded photos; the social media interactions every minute; aspects of the business big data tidal wave; monitors of aircraft engines; the science research data sizes from particle physics to astronomy and earth science; genes sequenced; and finally the long tail of science. The next slide emphasizes applications using algorithms on clouds. This leads to the rallying cry ''Use Clouds running Data Analytics Collaboratively processing Big Data to solve problems in X-Informatics educated in data science'' with a catalog of the many values of X ''Astronomy, Biology, Biomedicine, Business, Chemistry, Climate, Crisis, Earth Science, Energy, Environment, Finance, Health, Intelligence, Lifestyle, Marketing, Medicine, Pathology, Policy, Radar, Security, Sensor, Social, Sustainability, Wealth and Wellness''</p>"
2,Course Motivation: Big Data and Clouds,3,Jobs,,,assets/slides/Lecture_2.pptx,P84TBNt_kv8,"<p>Jobs abound in clouds and data science. There are documented shortages in data science, computer science and the major tech companies advertise for new talent.</p>"
2,Course Motivation: Big Data and Clouds,4,Industrial Trends,,,assets/slides/Lecture_2.pptx,TdaitkVI7qk,"<p>Trends include the growing importance of mobile devices and comparative decrease in desktop access, the export of internet content, the change in dominant client operating systems, use of social media, thriving chinese internet companies</p>"
2,Course Motivation: Big Data and Clouds,5,Computing Model: Industry adopted clouds which are attractive for data analytics,,,assets/slides/Lecture_2.pptx,TIKWL2tkxAM,"<p>Clouds and Big Data are transformational on a 2-5 year time scale. Already Amazon AWS is a lucrative business with almost a $4B revenue. Geoffrey describes the nature of cloud centers with economies of scale and gives examples of importance of virtualization in server consolidation. Then key characteristics of clouds are reviewed with expected high growth in Infrastructure, Platform and Software as a Service.</p>"
